Month,Revenue,CostOfGoodsSold,OperatingExpenses,NetIncome,Assets,Liabilities,Equity
Jan-23,50000,27500.0,12500.0,10000.0,205000.0,80000,125000.0
Feb-23,52000,28600.0,13000.0,10400.0,210200.0,82000,128200.0
Mar-23,54000,29700.0,13500.0,10800.0,215400.0,84000,131400.0
Apr-23,56000,30800.0,14000.0,11200.0,220600.0,86000,134600.0
May-23,56000,30800.0,14000.0,11200.0,225600.0,88000,137600.0
Jun-23,58000,31900.0,14500.0,11600.0,230800.0,90000,140800.0
Jul-23,60000,33000.0,15000.0,12000.0,236000.0,92000,144000.0
Aug-23,62000,34100.0,15500.0,12400.0,241200.0,94000,147200.0
Sep-23,62000,34100.0,15500.0,12400.0,246200.0,96000,150200.0
Oct-23,64000,35200.0,16000.0,12800.0,251400.0,98000,153400.0
Nov-23,66000,36300.0,16500.0,13200.0,256600.0,100000,156600.0
Dec-23,68000,37400.0,17000.0,13600.0,261800.0,102000,159800.0
Jan-24,68000,37400.0,17000.0,13600.0,266800.0,104000,162800.0
Feb-24,70000,38500.0,17500.0,14000.0,272000.0,106000,166000.0
Mar-24,72000,39600.0,18000.0,14400.0,277200.0,108000,169200.0
Apr-24,74000,40700.0,18500.0,14800.0,282400.0,110000,172400.0
May-24,74000,40700.0,18500.0,14800.0,287400.0,112000,175400.0
Jun-24,76000,41800.0,19000.0,15200.0,292600.0,114000,178600.0
Jul-24,78000,42900.0,19500.0,15600.0,297800.0,116000,181800.0
Aug-24,80000,44000.0,20000.0,16000.0,303000.0,118000,185000.0
Sep-24,80000,44000.0,20000.0,16000.0,308000.0,120000,188000.0
Oct-24,82000,45100.0,20500.0,16400.0,313200.0,122000,191200.0
Nov-24,84000,46200.0,21000.0,16800.0,318400.0,124000,194400.0
Dec-24,86000,47300.0,21500.0,17200.0,323600.0,126000,197600.0
